######################### Start train #########################
[Learner] Update_iteration: 50400  	 | actor_loss : 2152.523 	 | critic_loss : 497.195
[Learner] Update_iteration: 50600  	 | actor_loss : 2160.453 	 | critic_loss : 154.906
[Learner] Update_iteration: 50800  	 | actor_loss : 2171.809 	 | critic_loss : 91.323
[Learner] Update_iteration: 51000  	 | actor_loss : 2177.453 	 | critic_loss : 73.848
[Learner] Update_iteration: 51200  	 | actor_loss : 2186.280 	 | critic_loss : 160.493
[Learner] Update_iteration: 51400  	 | actor_loss : 2196.852 	 | critic_loss : 79.014
[Learner] Update_iteration: 51600  	 | actor_loss : 2205.080 	 | critic_loss : 93.843
[Learner] Update_iteration: 51800  	 | actor_loss : 2214.856 	 | critic_loss : 34.228
[Learner] Update_iteration: 52000  	 | actor_loss : 2227.256 	 | critic_loss : 65.964
[Learner] Update_iteration: 52200  	 | actor_loss : 2240.633 	 | critic_loss : 2664.386
[Learner] Update_iteration: 52400  	 | actor_loss : 2248.384 	 | critic_loss : 2625.582
[Learner] Update_iteration: 52600  	 | actor_loss : 2269.566 	 | critic_loss : 1434.782
[Learner] Update_iteration: 52800  	 | actor_loss : 2275.432 	 | critic_loss : 831.925
[Learner] Update_iteration: 53000  	 | actor_loss : 2281.797 	 | critic_loss : 295.600
[Learner] Update_iteration: 53200  	 | actor_loss : 2289.647 	 | critic_loss : 108.338
[Learner] Update_iteration: 53400  	 | actor_loss : 2298.227 	 | critic_loss : 52.360
[Learner] Update_iteration: 53600  	 | actor_loss : 2307.031 	 | critic_loss : 44.772
[Learner] Update_iteration: 53800  	 | actor_loss : 2317.994 	 | critic_loss : 41.890
[Learner] Update_iteration: 54000  	 | actor_loss : 2329.402 	 | critic_loss : 40.005
[Learner] Update_iteration: 54200  	 | actor_loss : 2340.044 	 | critic_loss : 38.910
[Learner] Update_iteration: 54400  	 | actor_loss : 2351.435 	 | critic_loss : 61.414
[Learner] Update_iteration: 54600  	 | actor_loss : 2359.779 	 | critic_loss : 35.836
[Learner] Update_iteration: 54800  	 | actor_loss : 2371.640 	 | critic_loss : 45.515
[Learner] Update_iteration: 55000  	 | actor_loss : 2379.734 	 | critic_loss : 40.818
[Learner] Update_iteration: 55200  	 | actor_loss : 2393.733 	 | critic_loss : 91.428
[Learner] Update_iteration: 55400  	 | actor_loss : 2423.750 	 | critic_loss : 3538.903
[Learner] Update_iteration: 55600  	 | actor_loss : 2426.895 	 | critic_loss : 1221.765
[Learner] Update_iteration: 55800  	 | actor_loss : 2426.476 	 | critic_loss : 409.684
[Learner] Update_iteration: 56000  	 | actor_loss : 2434.916 	 | critic_loss : 159.177
[Learner] Update_iteration: 56200  	 | actor_loss : 2445.298 	 | critic_loss : 149.373
[Learner] Update_iteration: 56400  	 | actor_loss : 2457.182 	 | critic_loss : 119.086
[Learner] Update_iteration: 56600  	 | actor_loss : 2468.944 	 | critic_loss : 198.743
[Learner] Update_iteration: 56800  	 | actor_loss : 2476.532 	 | critic_loss : 50.572
[Learner] Update_iteration: 57000  	 | actor_loss : 2491.012 	 | critic_loss : 89.078
[Learner] Update_iteration: 57200  	 | actor_loss : 2517.229 	 | critic_loss : 1544.293
[Learner] Update_iteration: 57400  	 | actor_loss : 2518.745 	 | critic_loss : 777.290
[Learner] Update_iteration: 57600  	 | actor_loss : 2526.360 	 | critic_loss : 196.623
[Learner] Update_iteration: 57800  	 | actor_loss : 2535.945 	 | critic_loss : 126.881
[Learner] Update_iteration: 58000  	 | actor_loss : 2544.804 	 | critic_loss : 49.709
[Learner] Update_iteration: 58200  	 | actor_loss : 2559.775 	 | critic_loss : 122.782
[Learner] Update_iteration: 58400  	 | actor_loss : 2569.069 	 | critic_loss : 88.532
[Learner] Update_iteration: 58600  	 | actor_loss : 2579.181 	 | critic_loss : 60.091
[Learner] Update_iteration: 58800  	 | actor_loss : 2606.620 	 | critic_loss : 1067.715
[Learner] Update_iteration: 59000  	 | actor_loss : 2614.709 	 | critic_loss : 2590.438
[Learner] Update_iteration: 59200  	 | actor_loss : 2622.500 	 | critic_loss : 451.461
[Learner] Update_iteration: 59400  	 | actor_loss : 2631.171 	 | critic_loss : 198.598
[Learner] Update_iteration: 59600  	 | actor_loss : 2642.790 	 | critic_loss : 95.922
[Learner] Update_iteration: 59800  	 | actor_loss : 2654.121 	 | critic_loss : 69.482
[Learner] Update_iteration: 60000  	 | actor_loss : 2666.262 	 | critic_loss : 54.100
[Learner] Update_iteration: 60200  	 | actor_loss : 2677.358 	 | critic_loss : 47.622
[Learner] Update_iteration: 60400  	 | actor_loss : 2689.800 	 | critic_loss : 41.059
[Learner] Update_iteration: 60600  	 | actor_loss : 2702.950 	 | critic_loss : 46.707
[Learner] Update_iteration: 60800  	 | actor_loss : 2716.847 	 | critic_loss : 83.897
[Learner] Update_iteration: 61000  	 | actor_loss : 2727.412 	 | critic_loss : 72.086
[Learner] Update_iteration: 61200  	 | actor_loss : 2741.471 	 | critic_loss : 179.954
[Learner] Update_iteration: 61400  	 | actor_loss : 2750.942 	 | critic_loss : 1887.614
[Learner] Update_iteration: 61600  	 | actor_loss : 2787.303 	 | critic_loss : 3236.626
[Learner] Update_iteration: 61800  	 | actor_loss : 2791.875 	 | critic_loss : 2475.181
[Learner] Update_iteration: 62000  	 | actor_loss : 2805.403 	 | critic_loss : 3884.938
